Date,Category,Message,Amount
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
07-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
08-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
05-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
06-06-2022,Food,werwerw,23
